id system_call
1 futex
2 io_getevents
3 poll
4 fcntl
5 accept
6 getsockname
7 setsockopt
8 mmap
9 getpeername
10 socket
11 mprotect
12 connect
13 clone
14 close
15 open
16 fstat
17 read
18 munmap
19 set_robust_list
20 access
21 stat
22 sendto
23 ioctl
24 recvfrom
25 sendmmsg
26 write
27 lseek
28 pread
29 sched_yield
30 io_submit
31 pwrite
32 madvise
33 fsync
34 fdatasync
35 select
36 brk
37 sigaltstack
38 rt_sigprocmask
39 gettid
40 nanosleep
41 epoll_pwait
42 signaldeliver
43 procexit
44 execve
45 arch_prctl
46 getuid
47 getgid
48 geteuid
49 getegid
50 rt_sigaction
51 uname
52 getcwd
53 getpid
54 getppid
55 getpgrp
56 getrlimit
57 wait4
58 openat
59 getdents
60 readlink
61 exit_group
62 sigreturn
63 pipe
64 dup
65 alarm
66 lstat
67 bind
68 recvmsg
69 getsockopt
70 setgid
71 setuid
72 statfs
73 lgetxattr
74 getxattr
75 umask
76 mkdir
77 chdir
78 shutdown
